"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"char_198_blackd","Courier","交谈2","Conversation 2","肚子饿了？想吃点什么尽管说，虽然比不上角峰大哥，在下对自己的手艺还是有点信心的。","Are you hungry? Let me know if there’s anything you want to eat! Of course, I can’t compete with big bro Matterhorn, but I’m quite confident in my own skills in the kitchen! ","腹が減りました？食べたいものがあれば、なんでも言ってくださいよ。ヤオカの兄貴には叶いませんが僕だって料理の腕にはそれなりの自信がありますので。",
"char_198_blackd","Courier","交谈3","Conversation 3","罗德岛的通讯设备太发达了吧？这样下去......在下是要失业了！","Isn’t the communication tech in Rhodes way too awesome? I’m going to lose my job at this rate!","ロドスは通信技術はすごすぎませんか？このままじゃ僕が失業しちゃいますよ。",
"char_198_blackd","Courier","晋升后交谈1","Elite Promotion Conversation 1","还有什么吩咐吗？可不要让在下等太久喔。","Is there anything else you desire? Don’t make me wait too long, alright? ","他になにかご要望は？あまり長く待たせないでくださいよ。",
"char_198_blackd","Courier","晋升后交谈2","Elite Promotion Conversation 2","唔？信件上会留下淡淡的味道？是错觉吧，错觉。","Mm? There’s a fragrance to the letter? Uhhm… ah, it’s all in your head! Yep!  just your imagination! ","ムッ？　手紙に香りが？エーっと。。。あっ、気の所為ですよ！気の所為。",
"char_198_blackd","Courier","信赖提升后交谈1","High Trust Conversation 1","银灰老板他对在下有救命之恩。如果是必要的事情，无论是什么，在下都会替他去做。","Silverash is my saviour. If need be, I’m prepared to do anything for him. ","シルバーアッシュさまは命の恩人です。もし必要とされれば、僕はどんなことだってするつもりですよ。",
"char_198_blackd","Courier","信赖提升后交谈2","High Trust Conversation 2","这些货物都要在下送吗？数量太多了吧，博士，别为难在下呀~","You’re telling me to deliver all of these packages? Isn’t it a bit too much? Don’t bully me doctor~ ","この荷物を全部僕が輸送しろうと？流石に多すぎませんか？意地悪はよしてくださいよドクター。",
"char_198_blackd","Courier","信赖提升后交谈3","High Trust Conversation 3","真是败给你了......那我就暂且收起这营业性笑容好了。希望从今往后，我都能以真正的表情面对你。","Guess I can’t win against you. Well then, I guess I’ll temporarily put away my customer-service smile for now.. Ahem. From now on, it would be nice to stand by you as my true self.","あなたには叶いませんね。では、この営業スマイルは一旦引っ込めましょう。エッヘン。これからも本当の姿であなたと向き合えるといいですね。",
"char_198_blackd","Courier","闲置","Idle","博士，有新的讯息......嘛，算了。","Doctor! You’ve got mail…. Ah, oh well. ","ドクター。新しいメッセージが。。。まぁー、いいか。",
"char_198_blackd","Courier","干员报到","Operator Reporting In","尊敬的罗德岛领袖，您的盟友，雪境的讯使在此。您与银灰老板的契约期内，碰上困难，就试着打个响指呼唤在下吧。","O’Leader of Rhodes, I, the courier of the snow am your sworn ally. Though it may only be within the time allowed by Silverash’s contract, if you were to need anything, I’ll be there in the wave of a finger. ","ロドスの指導者よあなたの盟友ヒーラーのクーリエでございます。シルバーアッシュ様との契約期間内だけですが、もしご用があれば、指でも鳴らして僕を呼んでくださいね。",
"char_198_blackd","Courier","观看作战记录","Watching Combat Tape","哇，完成了不得了的任务。","Wow! Way to complete such an outrageous mission! ","ワォ～とんでもない任務を果たしたね",
"char_198_blackd","Courier","精英化晋升1","Elite 1","让在下上场的话，您的工作一定会更加轻松的。","If you use me, your job will surely be much easier!","僕を出していただければ、きっと仕事が楽になりますよ。",
"char_198_blackd","Courier","精英化晋升2","Elite 2","作为雪境的讯使，危急关头，在下定会立刻出现在您身边。","As Courier from the snowy lands, I promise to rush to your aid in times of emergency","ヒーラーのクーリエとして、緊急事態とあらばすぐ駆けつけます。",
"char_198_blackd","Courier","编入队伍","Assign to Team","那么，战场侦查就交给在下吧。","Now then… Leave the battlefield scouting to me.","では、戦場の偵察はお任せください。",
"char_198_blackd","Courier","任命队长","Assign to Team Leader","绝不辱没雪境之名。","I won't sully the name of the snow.","ヒーラーの名にけして泥を塗りません。",
"char_198_blackd","Courier","行动出发","Operation Sortie","总有人破坏这份难得的和谐，真可惜。","It’s so disappointing that there’s people out there who’d want to destroy our moment of peacefulness...","せっかくの束の間の平和を壊す者がいるなんて実に残念です。",
"char_198_blackd","Courier","行动开始","Operation Start","他们会为此付出代价的。","I’ll make them pay for what they’ve done.","彼らには相応の代償を払ってもらいます。",
"char_198_blackd","Courier","选中干员1","Selected Operator 1","听从差遣。","Your orders?","ご命令を。",
"char_198_blackd","Courier","选中干员2","Selected Operator 2","在哪里待命？","Where shall I stand by? ","どこで待機すれば良いでしょ？",
"char_198_blackd","Courier","部署1","Deploy 1","嗯。","Mm.","うん。",
"char_198_blackd","Courier","部署2","Deploy 2","进攻。","Forward!","勧め！",
"char_198_blackd","Courier","作战中1","In Combat 1","突击！","Attack!","突撃！",
"char_198_blackd","Courier","作战中2","In Combat 2","怎样？","How's this? ","どうかな？",
"char_198_blackd","Courier","作战中3","In Combat 3","哈——","Haaa!","ハァーッ！",
"char_198_blackd","Courier","作战中4","In Combat 4","加速！","Speed up!","スピードアップ！",
"char_198_blackd","Courier","4星结束行动","Complete Operation with 4 stars","让在下用最快的速度，将胜利的讯息送回罗德岛。","I’ll send news of our victory back to Rhodes immediately! ","最速で勝利の知らせをロドスに届けて来ます！",
"char_198_blackd","Courier","3星结束行动","Complete Operation with 3 stars","清理完战场以后一起去吃顿好的如何，我请客。","After we finish cleaning up the battlefield, let's enjoy an extravagant feast! My treat!","戦場の後始末が落ち着いたら豪勢に食事とご飯を決め込みましょう。僕が奢るよ。",
"char_198_blackd","Courier","非3星结束行动","Complete Operation with 2 stars","有人受伤了吗，在下这里有药水和绷带。","Is anyone injured? We have ointment and bandages here!","怪我人はいませんか？ここに塗り薬と包帯があります。",
"char_198_blackd","Courier","行动失败","Failed Operation","先离开这儿——走这条路，快！","Let's get away from here first. This way. Hurry!","一先ずここを離れよう。こちらです。速く！",
"char_198_blackd","Courier","进驻设施","Assign to Station","先和室友邻居们打个招呼。","First up, I'll go greet my roomie and my neighbour","まずは同室とお隣さんにご挨拶を",
"char_198_blackd","Courier","戳一下","Poke","有事吗？","Do you need something?","何かご用ですか？",
"char_198_blackd","Courier","信赖触摸","Poke with Trust Bubble","好啦好啦，一会给你做点吃的。","Alright, alright, I'll cook you something later.","よーし、あとでなにか作ってあげますよ。",
"char_198_blackd","Courier","标题","Title Screen","明日方舟。","Arknights.","アークナイツ。",
"char_198_blackd","Courier","问候","Greeting","随时为您效劳。","Call me any time.","いつでもお呼びください",
"char_199_yak","Matterhorn","任命助理","Assign Secretary","您的货物我已经搬过去了。举手之劳，别客气。",,,
"char_199_yak","Matterhorn","交谈1","Conversation 1","盾牌，就是守护。",,,
"char_199_yak","Matterhorn","交谈2","Conversation 2","我从银灰少爷......不，老爷。我从老爷少年时就开始负责保护他。",,,
"char_199_yak","Matterhorn","交谈3","Conversation 3","谈论这个是不礼貌的，但恩雅小姐的遭遇......确实令人感到忧伤。她理应有更好的生活。",,,
"char_199_yak","Matterhorn","晋升后交谈1","Elite Promotion Conversation 1","万一，这面盾有什么损坏的话，就去找那位叫火神的工匠修理，没错吧？",,,
"char_199_yak","Matterhorn","晋升后交谈2","Elite Promotion Conversation 2","意外，真是意外。那位铁匠的手艺真的不错。我得好好谢谢她才行。",,,
"char_199_yak","Matterhorn","信赖提升后交谈1","High Trust Conversation 1","罗德岛的生活十分有趣，相比之下，在雪境度过的日子都比较平淡。",,,
"char_199_yak","Matterhorn","信赖提升后交谈2","High Trust Conversation 2","虽然老爷派我来保护二小姐，老实说，我不认为二小姐是会坐在那里乖乖等人来保护她的类型。",,,
"char_199_yak","Matterhorn","信赖提升后交谈3","High Trust Conversation 3","银灰老爷对你如此器重的原因，我多少也有点明白了。以后请把我也当作你的盾。",,,
"char_199_yak","Matterhorn","闲置","Idle","有时候也会忽然想念起雪境的生活。",,,
"char_199_yak","Matterhorn","干员报到","Operator Reporting In","同盟者，在此对您致以雪境之礼。我是银灰老爷此次派驻的护卫之一，代号为角峰。",,,
"char_199_yak","Matterhorn","观看作战记录","Watching Combat Tape","感谢。",,,
"char_199_yak","Matterhorn","精英化晋升1","Elite 1","承蒙您的另眼相待，实在愧不敢当。",,,
"char_199_yak","Matterhorn","精英化晋升2","Elite 2","即使这盾下一刻粉碎，我也绝不会退后半步。此举无关忠义，只是信念使然。",,,
"char_199_yak","Matterhorn","编入队伍","Assign to Team","听从吩咐。",,,
"char_199_yak","Matterhorn","任命队长","Assign to Team Leader","不敢当。",,,
"char_199_yak","Matterhorn","行动出发","Operation Sortie","各位，由我护卫。",,,
"char_199_yak","Matterhorn","行动开始","Operation Start","这是有准备的开始。",,,
"char_199_yak","Matterhorn","选中干员1","Selected Operator 1","我可以担当先锋。",,,
"char_199_yak","Matterhorn","选中干员2","Selected Operator 2","我的盾准备好了。",,,
"char_199_yak","Matterhorn","部署1","Deploy 1","哼。",,,
"char_199_yak","Matterhorn","部署2","Deploy 2","喝！",,,
"char_199_yak","Matterhorn","作战中1","In Combat 1","自讨苦吃。",,,
"char_199_yak","Matterhorn","作战中2","In Combat 2","这不止是力量而已。",,"力押しだけと思うな。",
"char_199_yak","Matterhorn","作战中3","In Combat 3","有此信念，便能化身鬼神！",,"信念を貫くためならば、鬼神にでもなってやる！",
"char_199_yak","Matterhorn","作战中4","In Combat 4","你的觉悟根本不够！",,"覚悟が足りん！",
"char_199_yak","Matterhorn","4星结束行动","Complete Operation with 4 stars","还没有发挥出百分之百的力量！",,,
"char_199_yak","Matterhorn","3星结束行动","Complete Operation with 3 stars","真是不痛不痒的进攻。",,,
"char_199_yak","Matterhorn","非3星结束行动","Complete Operation with 2 stars","下次一定会为您献上完美的胜利。",,,
"char_199_yak","Matterhorn","行动失败","Failed Operation","不该如此轻视敌人的，这是代价。",,,
"char_199_yak","Matterhorn","进驻设施","Assign to Station","真是不错的房间，装修讲究，气氛祥和。",,,
"char_199_yak","Matterhorn","戳一下","Poke","嗯。",,,
"char_199_yak","Matterhorn","信赖触摸","Poke with Trust Bubble","这是我的拿手菜，味道怎么样。",,,
"char_199_yak","Matterhorn","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_199_yak","Matterhorn","问候","Greeting","您好，博士。",,,
"char_201_moeshd","Croissant","任命助理","Assign Secretary","放心吧老板，不论在哪儿我都是您生命安全的保障！对了对了，每次行动前要扫一下这里的码，别忘记哟~","No matter where the boss goes, I'll take care of ya protection. Leavin' that aside, I'll be takin' that deposit before the battle starts! Don't forget about it~","旦那さんがどこ行っても、安全はこのうちが保障するで！それよりな、作戦前には内金もよろしく！忘れたらあかんで～",
"char_201_moeshd","Croissant","交谈1","Conversation 1","努力工作，赚取报酬，都是为了提升自己的生活品质嘛。","I have to work hard and earn a budget to live a good life.","仕事頑張って予算稼いで、ええ暮らしせんなあかんな。",
"char_201_moeshd","Croissant","交谈2","Conversation 2","大家的装备都在闪闪发光！好想摸一下啊～","What's with that, everyone's equipment is clean! Lemme hold them for a bit~","何や、こいつもそいつも装備がピカピカはないかい！ちょっとうちにも触らせてなぁ～",
"char_201_moeshd","Croissant","交谈3","Conversation 3","我最喜欢新装备了！无论是看到什么都好想买下来啊。就这样，我陷入了无止境的购物漩涡......","Ordering new equipment, complete! It's so good that I had to buy it. Cos of things like this, I'm hooked on shopping.","新しい装備、ちゅうもんわ！ほんま偉もんよな、うちにも買てしまうわ。新しい装備、ちゅうもんはほんまええもんやは！うちなんかすぐ買てしまうわ。これが沼落っちゃうもんよな。",
"char_201_moeshd","Croissant","晋升后交谈1","Elite Promotion Conversation 1","为了补贴每个月的花销，我会经常搜集些货物，做点小生意！当然，可都是些物美价廉的好东西哦！","Every single month's expenses take up so much money~ Cos of this, to top up my purse, I've gathered up some rockin' goods to sell! They're cheap, and it's nuffin' but the good stuff","毎月毎月ほんま金掛かるね～せやからな、財布の足しにええもんが集めて商売してるね！安くてええもんばっかやで。",
"char_201_moeshd","Croissant","晋升后交谈2","Elite Promotion Conversation 2","这也是运货，那也是运货，既然都是运货，我当然更愿意搬运些好用的东西，或者美味的食物！","If we're delivering all of this stuff anyway, I'd rather be delivering things that are easy to use, or delicious things!","どうせものを運ぶんなら使えやすいもんや美味しいもん、そっちを運びたいわ。",
"char_201_moeshd","Croissant","信赖提升后交谈1","High Trust Conversation 1","老板老板，我找到了特别好吃的东西哦！来尝尝看吧？哼哼，除了装备之外，我可最喜欢美味的食物了！","Boss, boss! Y'see what I've found, a really nice food - ya wanna try it? Y'see, right after good equipment, the thing I like most is food!","旦那さん、旦那さん！うちなんや、偉い美味しそうなもん、見つけてんけど、食べてみん？うちな、ええ装備を次に美味しいもんが大好きよね。",
"char_201_moeshd","Croissant","信赖提升后交谈2","High Trust Conversation 2","老板！要不要来看看我刚进的一批货？潮款服装，日用工具，办公用品，武器装备，应有尽有哦！买的越多，折扣越大哦！","Boss, come a little closer yeah? Look at all the stuff in my supplies. From daily clothing, everyday items and office supplies, all the way up to battle equipment! If you buy a lot, I'll throw in a freebie too~","旦那さん、ちょっと寄っていいかへん？うちが仕入れたものを見てってな。洒落をつな服に、日用品から事務用品、装備まで何でもあるで！いっぱい買てから負けたるで～",
"char_201_moeshd","Croissant","信赖提升后交谈3","High Trust Conversation 3","老板，谢谢您！为我介绍了这么多的工作！托您的福，以前买不起的东西，现在我都负担的起啦！您是最好的老板！最喜欢您了！","Boss, I'm really grateful to ya! Because of all the work that you've given me, I could buy aaaalll of the things that I wanted! Ya really are the best! I love ya!","旦那さんにはほんま感謝よわ！仕事をめっちゃ回したくれはったおかげで、うち欲しいもんみんな買えて！ほんま旦那さん最高よわ！うち、大好きやね！",
"char_201_moeshd","Croissant","闲置","Idle","哎呀~这个月也完蛋了......","Urgh, really gonna be in a pinch again this month...","あっちゃーあかん、今月もピンチやね……",
"char_201_moeshd","Croissant","干员报到","Operator Reporting In","我是可颂。老板您的运气可真好，能得到我这样安全可靠刀枪不入的优质干员！另外，现在雇佣我的话，还可以给您打八折哦！","Boss, your luck is real good to hire someone like me that's safe, reliable and long lasting! What's more, if you hire me now you'll get an extra 20% off!","うちはクロワッサン。旦那さんは運のええお人よの、うちみたいに優秀なんはなかなかおらんで、丈夫で長持ち！おまけに料金二割引きにしたるわ！",
"char_201_moeshd","Croissant","观看作战记录","Watching Combat Tape","变强的话，就能接到更多工作了吧~","Whoah, since I've become stronger I can do even better jobs.","なんや強よなったら、もっとええ仕事できそうやな。",
"char_201_moeshd","Croissant","精英化晋升1","Elite 1","多亏了老板，我才能得到这么好的岗位，太感谢您了！","Thanks to you, Boss, I've been able to get good jobs, so I'm really greatful!","旦那さんのおかげで、ええ仕事ができてるね、ほんま感謝やわ！",
"char_201_moeshd","Croissant","精英化晋升2","Elite 2","老板老板，您发的奖金，我可没有乱花哦。快看快看，这些都是用来保护您的新装备！","Boss, Boss, with the bonus I got I can live a proper lifestyle. Hey, hey look, I've modernised the equipment I'll be using to protect you!","旦那さん旦那さん、もらったボーナスめっちゃ有効活用をしてるね。なっなっほら見てみて、旦那さんを守るための装備更新に使うてん！",
"char_201_moeshd","Croissant","编入队伍","Assign to Team","防卫就交给我吧！","Leave the protection to me!","警備なら任しときぃ！",
"char_201_moeshd","Croissant","任命队长","Assign to Team Leader","大家！让我们漂漂亮亮地完成这次工作吧！","Everyone! For this mission, we'll complete it perfectly!","みんなぁ！この任務、完璧に果たしてみせるで！",
"char_201_moeshd","Croissant","行动出发","Operation Sortie","一定给老板一个您满意的战果！","We'll show you a perfect victory.","完璧な戦果を上げてこな！",
"char_201_moeshd","Croissant","行动开始","Operation Start","敌人给咱们送装备来了！","Hey hey, the enemy has come to give us their equipment!","なぁなぁ、敵が装備を叩きに来てくれはったわ！",
"char_201_moeshd","Croissant","选中干员1","Selected Operator 1","什么什么？","*Croissant Kansaiben noises*","なんやなんや？",
"char_201_moeshd","Croissant","选中干员2","Selected Operator 2","让我试试新装备吧！","I'll be testing my new equipment!","新しい装備試させてもらうわ！",
"char_201_moeshd","Croissant","部署1","Deploy 1","嘿咻！","Alright!","よっこらしょっと！",
"char_201_moeshd","Croissant","部署2","Deploy 2","到了！","I've arrived!","ついたで！",
"char_201_moeshd","Croissant","作战中1","In Combat 1","停下！","Stop!","ストップ！",
"char_201_moeshd","Croissant","作战中2","In Combat 2","此路不通！","You're not getting through here!","ここは通さへんで！",
"char_201_moeshd","Croissant","作战中3","In Combat 3","雷霆一击！","Thunderclap!","サンダークラップや！",
"char_201_moeshd","Croissant","作战中4","In Combat 4","这招对我没用！","This kind of thing isn't going to work on me!","そんなもんうちには効かへんし！",
"char_201_moeshd","Croissant","4星结束行动","Complete Operation with 4 stars","敌人有没有掉落宝箱什么的呢？","The enemy battle group doesn't happen to have any treasure or good stuff on them do they?","敵の連中なんか宝箱とかええもんもってへんかな？",
"char_201_moeshd","Croissant","3星结束行动","Complete Operation with 3 stars","耶～任务完成！","Yeah! Mission complete!","やったー任務完了や！",
"char_201_moeshd","Croissant","非3星结束行动","Complete Operation with 2 stars","欸，敌人逃跑了，我的业务信誉又要下跌啦......","Urgh, the enemy ran away. My word-of-mouth presence is going to get worse...","あかん、敵逃がしてもうたん、うちの口コミが下がってまうわ……",
"char_201_moeshd","Croissant","行动失败","Failed Operation","太糟了，不光输了战斗，还弄丢了钱包......","Ah no, since we lost, I'm going to lose money as well, urgh...","しまったわ、負けてしもうたから財布までなくしてしまったわ、うぇ…",
"char_201_moeshd","Croissant","进驻设施","Assign to Station","这里有没有宝箱？","Could there be treasure hiding here?","ここにも宝箱眠ってるん？",
"char_201_moeshd","Croissant","戳一下","Poke","嗯？","Hmm?","なんや？",
"char_201_moeshd","Croissant","信赖触摸","Poke with Trust Bubble","老板老板，有什么好东西吗？也给我看一下！","Boss, Boss, have you got good equipment with you? Show it to me as well!","旦那さん旦那さん、なんかめっちゃすごいもんとかもってへんの？うちにも見せてーや！",
"char_201_moeshd","Croissant","标题","Title Screen","明日方舟。","Arknights.","アークナイツ。",
"char_201_moeshd","Croissant","问候","Greeting","老板~欢迎光临！","Welcome, Boss!","旦那さん、いらっしゃーい！",
"char_202_demkni","Saria","任命助理","Assign Secretary","我看过你的排班日程，现在确实是休息时间吧？那么，多有打扰。",,"お前のスケジュールはチェックしてある、今は休憩時間だろ？邪魔したな。",
"char_202_demkni","Saria","交谈1","Conversation 1","万物的演化本就是不可动摇的自然法则。莱茵生命却妄图修改它，甚至想要支配它，多么愚蠢的图谋......",,"万物の進化は絶対の摂理。そうだというのに、ライン生命はそれを改変し支配することなど目論んでいる、愚かな……",
"char_202_demkni","Saria","交谈2","Conversation 2","作为研究者，你是否也参与过一些不应触碰的实验？没有的话，自然最好。",,"お前も研究者として、禁忌に触れる実験に手を出したことはある？いや、していなければ、それでいいんだ。",
"char_202_demkni","Saria","交谈3","Conversation 3","你不觉得罗德岛太喧闹了吗？工作中就该保持安静、专注。你该严格管束你的部下。",,"ロドスは些か騒がしすぎると思わないか？仕事は静かに集中して行うべきだ。そしてお前は部下に甘すぎる。",
"char_202_demkni","Saria","晋升后交谈1","Elite Promotion Conversation 1","我真正的能力，与急救这种行为并无关联。不过，为了配合你的战术指挥，我简单地调整了这个能力的使用方法。",,"私の能力は元は救急とは無関係だったが、お前の作戦に合わせて、少し力の使い方を調整した。",
"char_202_demkni","Saria","晋升后交谈2","Elite Promotion Conversation 2","你是不是以为，钙质化法术会让生物变得脆弱？错了，我可以将钙精炼成坚硬的珐琅质。就让敌人试试看吧，没人摧毁得了我的防壁。",,"カルシウム化のアーツは頼りないなんて思ってないか？最大まで精錬し、エナメル化した防壁は、誰も打ち破れないさ。",
"char_202_demkni","Saria","信赖提升后交谈1","High Trust Conversation 1","你看到了我和赫默吵架？家常便饭而已......抱歉，给你和罗德岛带来了麻烦。",,"サイレンスと口論しているところを見た？ふん、いつものことだ……いや、すまない、ロドスにもお前にも迷惑をかけたな。",
"char_202_demkni","Saria","信赖提升后交谈2","High Trust Conversation 2","请你帮我转告伊芙利特，“无论今后发生什么，我都会保护你”......见面？不，我还没准备好去见她。",,"イフリータに伝えてくれ、”これからなにが起きようと私が守ると”……会いに？いや、まだ心の準備が。",
"char_202_demkni","Saria","信赖提升后交谈3","High Trust Conversation 3","即使身处绝境，也要将自己傲然挺立的身姿，永远地刻在重要的人眼中。这是我的底线，也是我生存的准则。你也会这样去做的，对吗？",,"いかなる窮地に立たされようと、大切な者には誇りある姿しか見せない。私はそう決めている。お前もそうだろ？",
"char_202_demkni","Saria","闲置","Idle","如果没有其他任务需要处理，我就先一步返回自己的房间了。",,"用がないなら、部屋にもどるぞ。",
"char_202_demkni","Saria","干员报到","Operator Reporting In","塞雷娅，原莱茵生命研究所实验组成员。至于现在......为了让偏离传统的事物回归正途，我需要罗德岛的协助。",,"私はサリア、元ライン生命医科学研究所の実験チームメンバーだ。今は……摂理を踏みはずした者を正すため、ロドスの協力が必要だ。",
"char_202_demkni","Saria","观看作战记录","Watching Combat Tape","你在干什么？",,"なにをしているんだ？",
"char_202_demkni","Saria","精英化晋升1","Elite 1","很好，如果想保持对下属的影响力，你必须时刻用自己的想法去推动他们。",,"いいか、部下への影響力を維持したいなら、お前の考えで彼らを動かし続けろ。",
"char_202_demkni","Saria","精英化晋升2","Elite 2","晋升？我并不希望这是种特殊对待。只是，为了那个孩子，我确实需要你的协助，直到那些被扭曲过的法则，全都被修正为止......！",,"昇進？贔屓されるのは不本意だが、あの子のために、お前の協力が必要だ。すべての歪みを修正するために……！",
"char_202_demkni","Saria","编入队伍","Assign to Team","对于你的指挥，我有权进行监督，并提出相应意见。",,"お前の采配に対しては、私にも意見する権利がある。",
"char_202_demkni","Saria","任命队长","Assign to Team Leader","把这次行动的简报，提交给我审核一下。",,"さっそく、作戦のブリーフィングに入ろう。",
"char_202_demkni","Saria","行动出发","Operation Sortie","所有干员，必须严格遵守纪律。",,"全員、規律はしっかり守ってもらう。",
"char_202_demkni","Saria","行动开始","Operation Start","就是他们制造了灾难，点燃了战争之火吗？",,"やつらが災いを生み出し、戦争を引き起こした元凶なのか？",
"char_202_demkni","Saria","选中干员1","Selected Operator 1","让我来。",,"私がいこう。",
"char_202_demkni","Saria","选中干员2","Selected Operator 2","压制他们。",,"やつらを抑える。",
"char_202_demkni","Saria","部署1","Deploy 1","前进。",,"前に進むぞ。",
"char_202_demkni","Saria","部署2","Deploy 2","害虫。",,"害虫が。",
"char_202_demkni","Saria","作战中1","In Combat 1","这种程度，又能阻止谁？",,"この程度で止まると思うな？",
"char_202_demkni","Saria","作战中2","In Combat 2","很快就会结束。",,"すぐに終わる。",
"char_202_demkni","Saria","作战中3","In Combat 3","凝固吧。",,"凝固しろ。",
"char_202_demkni","Saria","作战中4","In Combat 4","不许放弃。",,"諦めるな。",
"char_202_demkni","Saria","4星结束行动","Complete Operation with 4 stars","你的战术是现代的，构思却相当古老。你究竟是什么人？",,"お前の作戦、戦術は現代らしいものだが根底にある思想は古くさいな。一体いつの時代の人間だ？",
"char_202_demkni","Saria","3星结束行动","Complete Operation with 3 stars","一切必须回归既有的秩序，我不准许任何人违背法则。",,"すべては秩序に則るべきだ、摂理に反することなど誰にも許されない。",
"char_202_demkni","Saria","非3星结束行动","Complete Operation with 2 stars","溃退的敌人也许正在呼叫援军，对残余敌人的搜索，不可怠慢。",,"離脱者が援軍を呼ぶ可能性がある、索敵を怠るな。",
"char_202_demkni","Saria","行动失败","Failed Operation","究竟是哪里搞错了......？",,"どこで道を間違えた……？",
"char_202_demkni","Saria","进驻设施","Assign to Station","这个房间的布置很有意思，虽然，我个人更喜欢未来主义的设计。",,"この部屋、面白いデザインだな。個人的にはフューチャーリズムを反映したデザインのほうが好みではある。",
"char_202_demkni","Saria","戳一下","Poke","嗯？什么？",,"うん？なんだ？",
"char_202_demkni","Saria","信赖触摸","Poke with Trust Bubble","博士，有时间的话去补习一些过往的知识吧，你会在其中，发现许多有趣的事。",,"ドクター、時間があればの話だが、過去の知識を学んでみるのも面白いぞ。",
"char_202_demkni","Saria","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_202_demkni","Saria","问候","Greeting","博士，身体如何？",,"ドクター、元気か？",
"char_204_platnm","Platinum","任命助理","Assign Secretary","哈——欠。博士，我可以请会儿假，稍微离开一下吗？",,,
"char_204_platnm","Platinum","交谈1","Conversation 1","不用担心我的弓，每天我都有在好好保养。而且，它可比你要结实多了，用不着质疑它。",,,
"char_204_platnm","Platinum","交谈2","Conversation 2","罗德岛确实有不少有趣的人，如果能找到一两个朋友当旅伴也挺不错的。",,,
"char_204_platnm","Platinum","交谈3","Conversation 3","现在的卡西米尔骑士，不是脑袋里都练出肌肉的傻瓜，就是沉迷广告牌烟火演出的小丑，啊啊，真~~无聊。",,,
"char_204_platnm","Platinum","晋升后交谈1","Elite Promotion Conversation 1","本来打算在完成手上的任务之后就回国的，嗯，现在我改变主意了。理由？哎呀，特意打听这种事，可是不懂少女心的表现哦。",,,
"char_204_platnm","Platinum","晋升后交谈2","Elite Promotion Conversation 2","想问白金这个称呼是怎么来的？这个嘛，卡西米尔的骑士杀手也有级别之分哦。虽然在我之上，还有玄铁三人和青金两人，但身在白金大位的，到我死去为止，有且只能有我一个人。所以，我就干脆拿这个作为代号使用啦。",,,
"char_204_platnm","Platinum","信赖提升后交谈1","High Trust Conversation 1","啊，是临光小姐！没有没有，我没打算对她出手。不如说，我更害怕她看到我就拔出战锤冲过来嘛。",,,
"char_204_platnm","Platinum","信赖提升后交谈2","High Trust Conversation 2","卡西米尔还......真挺无聊的。唉~想到自己几乎快要被罗德岛的生活俘虏，我居然会有些生气呢。",,,
"char_204_platnm","Platinum","信赖提升后交谈3","High Trust Conversation 3","您有没有思考过，要如何维系罗德岛各位之间的关系呢？要知道，各个紧密连环间的空隙是结构中最为脆弱的部分；而利刃总会刺向铠甲的缝隙，一旦被趁虚而入，辛苦铸就的一切，顷刻间就会崩塌殆尽。",,,
"char_204_platnm","Platinum","闲置","Idle","真无聊~就不能发生些有意思的事吗~？",,,
"char_204_platnm","Platinum","干员报到","Operator Reporting In","卡西米尔无胄盟刺客，依约而来。怎么称呼？嗯......就叫我白金吧，请多关照咯。",,,
"char_204_platnm","Platinum","观看作战记录","Watching Combat Tape","好啊，仿佛这张弓都变轻了呢，谢谢。",,,
"char_204_platnm","Platinum","精英化晋升1","Elite 1","晋升？白金位还不够可怕吗？哦~你真的，说了很有趣的话呢。",,,
"char_204_platnm","Platinum","精英化晋升2","Elite 2","呵......白金的真正面貌，你当真有胆量见识吗，我可爱的博士？",,,
"char_204_platnm","Platinum","编入队伍","Assign to Team","白金，入列。",,,
"char_204_platnm","Platinum","任命队长","Assign to Team Leader","欸~？让我指挥？我可是没有指挥经验的哦？",,,
"char_204_platnm","Platinum","行动出发","Operation Sortie","接下来，会发生一场有趣的战斗吗~？",,,
"char_204_platnm","Platinum","行动开始","Operation Start","一起攻过来也可以，反正你们都很弱。",,,
"char_204_platnm","Platinum","选中干员1","Selected Operator 1","请指示。",,,
"char_204_platnm","Platinum","选中干员2","Selected Operator 2","目标是谁？",,,
"char_204_platnm","Platinum","部署1","Deploy 1","抹除开始。",,,
"char_204_platnm","Platinum","部署2","Deploy 2","迎战。",,,
"char_204_platnm","Platinum","作战中1","In Combat 1","数一，碎足。",,,
"char_204_platnm","Platinum","作战中2","In Combat 2","数二，破甲。",,,
"char_204_platnm","Platinum","作战中3","In Combat 3","数三，贯身——",,,
"char_204_platnm","Platinum","作战中4","In Combat 4","——如此一来，便是将军喽！",,,
"char_204_platnm","Platinum","4星结束行动","Complete Operation with 4 stars","很好啊，已经让我十分享受了呢！",,,
"char_204_platnm","Platinum","3星结束行动","Complete Operation with 3 stars","将死。不好意思，是我的胜利呢。",,,
